dteday,season,yr,mnth,holiday,weekday,workingday,weathersit,temp,hum,windspeed,casual,registered,cnt,month_year,cluster,year_month
2011-08-16,Fall,2011,August,Not Holiday,Tuesday,Working Day,1,29,58,16,721,4004,4725,2011-08,2,2011-08
2011-08-17,Fall,2011,August,Not Holiday,Wednesday,Working Day,1,30,58,10,668,4026,4694,2011-08,2,2011-08
2011-08-18,Fall,2011,August,Not Holiday,Thursday,Working Day,1,29,65,16,639,3166,3805,2011-08,2,2011-08
2011-08-19,Fall,2011,August,Not Holiday,Friday,Working Day,2,28,72,9,797,3356,4153,2011-08,2,2011-08
2011-08-20,Fall,2011,August,Not Holiday,Saturday,Holiday,1,29,67,7,1914,3277,5191,2011-08,2,2011-08
2011-08-21,Fall,2011,August,Not Holiday,Sunday,Holiday,1,29,77,17,1249,2624,3873,2011-08,2,2011-08
2011-08-22,Fall,2011,August,Not Holiday,Monday,Working Day,1,28,47,19,833,3925,4758,2011-08,2,2011-08
2011-08-23,Fall,2011,August,Not Holiday,Tuesday,Working Day,1,26,46,10,1281,4614,5895,2011-08,1,2011-08
2011-08-24,Fall,2011,August,Not Holiday,Wednesday,Working Day,1,28,60,17,949,4181,5130,2011-08,2,2011-08
2011-08-25,Fall,2011,August,Not Holiday,Thursday,Working Day,2,28,77,14,435,3107,3542,2011-08,2,2011-08
2011-08-26,Fall,2011,August,Not Holiday,Friday,Working Day,1,29,76,6,768,3893,4661,2011-08,2,2011-08
2011-08-27,Fall,2011,August,Not Holiday,Saturday,Holiday,2,28,85,25,226,889,1115,2011-08,0,2011-08
2011-08-28,Fall,2011,August,Not Holiday,Sunday,Holiday,1,29,56,20,1415,2919,4334,2011-08,2,2011-08
2011-08-29,Fall,2011,August,Not Holiday,Monday,Working Day,1,26,55,11,729,3905,4634,2011-08,2,2011-08
2011-08-30,Fall,2011,August,Not Holiday,Tuesday,Working Day,1,26,55,8,775,4429,5204,2011-08,2,2011-08
2011-08-31,Fall,2011,August,Not Holiday,Wednesday,Working Day,1,27,60,6,688,4370,5058,2011-08,2,2011-08
2011-09-01,Fall,2011,September,Not Holiday,Thursday,Working Day,1,27,64,10,783,4332,5115,2011-09,2,2011-09
2011-09-02,Fall,2011,September,Not Holiday,Friday,Working Day,2,26,73,9,875,3852,4727,2011-09,2,2011-09
2011-09-03,Fall,2011,September,Not Holiday,Saturday,Holiday,1,27,72,12,1935,2549,4484,2011-09,2,2011-09
2011-09-04,Fall,2011,September,Not Holiday,Sunday,Holiday,1,29,74,14,2521,2419,4940,2011-09,2,2011-09
2011-09-05,Fall,2011,September,Holiday,Monday,Holiday,2,28,79,14,1236,2115,3351,2011-09,0,2011-09
2011-09-06,Fall,2011,September,Not Holiday,Tuesday,Working Day,3,22,89,23,204,2506,2710,2011-09,0,2011-09
2011-09-07,Fall,2011,September,Not Holiday,Wednesday,Working Day,3,25,92,7,118,1878,1996,2011-09,0,2011-09
2011-09-08,Fall,2011,September,Not Holiday,Thursday,Working Day,3,26,94,13,153,1689,1842,2011-09,0,2011-09
2011-09-09,Fall,2011,September,Not Holiday,Friday,Working Day,2,27,90,8,417,3127,3544,2011-09,2,2011-09
2011-09-10,Fall,2011,September,Not Holiday,Saturday,Holiday,1,27,75,10,1750,3595,5345,2011-09,2,2011-09
2011-09-11,Fall,2011,September,Not Holiday,Sunday,Holiday,1,27,71,8,1633,3413,5046,2011-09,2,2011-09
2011-09-12,Fall,2011,September,Not Holiday,Monday,Working Day,1,26,69,6,690,4023,4713,2011-09,2,2011-09
2011-09-13,Fall,2011,September,Not Holiday,Tuesday,Working Day,1,27,71,10,701,4062,4763,2011-09,2,2011-09
2011-09-14,Fall,2011,September,Not Holiday,Wednesday,Working Day,1,28,70,11,647,4138,4785,2011-09,2,2011-09
2011-09-15,Fall,2011,September,Not Holiday,Thursday,Working Day,2,24,71,18,428,3231,3659,2011-09,2,2011-09
2011-09-16,Fall,2011,September,Not Holiday,Friday,Working Day,2,19,59,11,742,4018,4760,2011-09,2,2011-09
2011-09-17,Fall,2011,September,Not Holiday,Saturday,Holiday,2,20,72,13,1434,3077,4511,2011-09,2,2011-09
2011-09-18,Fall,2011,September,Not Holiday,Sunday,Holiday,1,21,70,12,1353,2921,4274,2011-09,2,2011-09
2011-09-19,Fall,2011,September,Not Holiday,Monday,Working Day,2,23,69,10,691,3848,4539,2011-09,2,2011-09
2011-09-20,Fall,2011,September,Not Holiday,Tuesday,Working Day,2,23,88,9,438,3203,3641,2011-09,2,2011-09
2011-09-21,Fall,2011,September,Not Holiday,Wednesday,Working Day,2,24,90,6,539,3813,4352,2011-09,2,2011-09
2011-09-22,Fall,2011,September,Not Holiday,Thursday,Working Day,2,26,90,9,555,4240,4795,2011-09,2,2011-09
2011-09-23,Winter,2011,September,Not Holiday,Friday,Working Day,2,25,97,5,258,2137,2395,2011-09,0,2011-09
2011-09-24,Winter,2011,September,Not Holiday,Saturday,Holiday,2,25,86,5,1776,3647,5423,2011-09,2,2011-09
2011-09-25,Winter,2011,September,Not Holiday,Sunday,Holiday,2,26,84,3,1544,3466,5010,2011-09,2,2011-09
2011-09-26,Winter,2011,September,Not Holiday,Monday,Working Day,2,27,85,7,684,3946,4630,2011-09,2,2011-09
2011-09-27,Winter,2011,September,Not Holiday,Tuesday,Working Day,2,26,89,8,477,3643,4120,2011-09,2,2011-09
2011-09-28,Winter,2011,September,Not Holiday,Wednesday,Working Day,2,26,85,10,480,3427,3907,2011-09,2,2011-09
2011-09-29,Winter,2011,September,Not Holiday,Thursday,Working Day,1,25,70,12,653,4186,4839,2011-09,2,2011-09
2011-09-30,Winter,2011,September,Not Holiday,Friday,Working Day,1,23,65,14,830,4372,5202,2011-09,2,2011-09
2011-10-01,Winter,2011,October,Not Holiday,Saturday,Holiday,2,17,75,20,480,1949,2429,2011-10,0,2011-10
2011-10-02,Winter,2011,October,Not Holiday,Sunday,Holiday,2,15,79,15,616,2302,2918,2011-10,0,2011-10
2011-10-03,Winter,2011,October,Not Holiday,Monday,Working Day,2,16,76,6,330,3240,3570,2011-10,2,2011-10
2011-10-04,Winter,2011,October,Not Holiday,Tuesday,Working Day,1,20,71,14,486,3970,4456,2011-10,2,2011-10
2011-10-05,Winter,2011,October,Not Holiday,Wednesday,Working Day,1,22,65,12,559,4267,4826,2011-10,2,2011-10
2011-10-06,Winter,2011,October,Not Holiday,Thursday,Working Day,1,20,62,9,639,4126,4765,2011-10,2,2011-10
2011-10-07,Winter,2011,October,Not Holiday,Friday,Working Day,1,21,68,2,949,4036,4985,2011-10,2,2011-10
2011-10-08,Winter,2011,October,Not Holiday,Saturday,Holiday,1,21,70,3,2235,3174,5409,2011-10,2,2011-10
2011-10-09,Winter,2011,October,Not Holiday,Sunday,Holiday,1,22,73,4,2397,3114,5511,2011-10,2,2011-10
2011-10-10,Winter,2011,October,Holiday,Monday,Holiday,1,23,73,3,1514,3603,5117,2011-10,2,2011-10
2011-10-11,Winter,2011,October,Not Holiday,Tuesday,Working Day,2,23,81,10,667,3896,4563,2011-10,2,2011-10
2011-10-12,Winter,2011,October,Not Holiday,Wednesday,Working Day,3,22,91,17,217,2199,2416,2011-10,0,2011-10
2011-10-13,Winter,2011,October,Not Holiday,Thursday,Working Day,2,24,90,9,290,2623,2913,2011-10,0,2011-10
2011-10-14,Winter,2011,October,Not Holiday,Friday,Working Day,2,23,72,15,529,3115,3644,2011-10,2,2011-10
2011-10-15,Winter,2011,October,Not Holiday,Saturday,Holiday,1,21,48,17,1899,3318,5217,2011-10,2,2011-10
2011-10-16,Winter,2011,October,Not Holiday,Sunday,Holiday,1,21,49,19,1748,3293,5041,2011-10,2,2011-10
2011-10-17,Winter,2011,October,Not Holiday,Monday,Working Day,1,22,58,12,713,3857,4570,2011-10,2,2011-10
2011-10-18,Winter,2011,October,Not Holiday,Tuesday,Working Day,2,22,70,7,637,4111,4748,2011-10,2,2011-10
2011-10-19,Winter,2011,October,Not Holiday,Wednesday,Working Day,3,22,90,16,254,2170,2424,2011-10,0,2011-10
2011-10-20,Winter,2011,October,Not Holiday,Thursday,Working Day,1,20,64,28,471,3724,4195,2011-10,2,2011-10
2011-10-21,Winter,2011,October,Not Holiday,Friday,Working Day,1,18,57,15,676,3628,4304,2011-10,2,2011-10
2011-10-22,Winter,2011,October,Not Holiday,Saturday,Holiday,1,17,63,6,1499,2809,4308,2011-10,2,2011-10
2011-10-23,Winter,2011,October,Not Holiday,Sunday,Holiday,1,17,74,7,1619,2762,4381,2011-10,2,2011-10
2011-10-24,Winter,2011,October,Not Holiday,Monday,Working Day,1,19,77,8,699,3488,4187,2011-10,2,2011-10
2011-10-25,Winter,2011,October,Not Holiday,Tuesday,Working Day,1,19,62,11,695,3992,4687,2011-10,2,2011-10
2011-10-26,Winter,2011,October,Not Holiday,Wednesday,Working Day,2,20,72,10,404,3490,3894,2011-10,2,2011-10
2011-10-27,Winter,2011,October,Not Holiday,Thursday,Working Day,2,19,81,13,240,2419,2659,2011-10,0,2011-10
2011-10-28,Winter,2011,October,Not Holiday,Friday,Working Day,2,14,59,15,456,3291,3747,2011-10,2,2011-10
2011-10-29,Winter,2011,October,Not Holiday,Saturday,Holiday,3,10,88,24,57,570,627,2011-10,0,2011-10
2011-10-30,Winter,2011,October,Not Holiday,Sunday,Holiday,1,13,62,12,885,2446,3331,2011-10,0,2011-10
2011-10-31,Winter,2011,October,Not Holiday,Monday,Working Day,1,14,70,7,362,3307,3669,2011-10,2,2011-10
2011-11-01,Winter,2011,November,Not Holiday,Tuesday,Working Day,1,16,68,9,410,3658,4068,2011-11,2,2011-11
2011-11-02,Winter,2011,November,Not Holiday,Wednesday,Working Day,1,15,72,6,370,3816,4186,2011-11,2,2011-11
2011-11-03,Winter,2011,November,Not Holiday,Thursday,Working Day,1,17,70,9,318,3656,3974,2011-11,2,2011-11
2011-11-04,Winter,2011,November,Not Holiday,Friday,Working Day,2,17,62,18,470,3576,4046,2011-11,2,2011-11
2011-11-05,Winter,2011,November,Not Holiday,Saturday,Holiday,1,13,52,13,1156,2770,3926,2011-11,2,2011-11
2011-11-06,Winter,2011,November,Not Holiday,Sunday,Holiday,1,14,73,6,952,2697,3649,2011-11,2,2011-11
2011-11-07,Winter,2011,November,Not Holiday,Monday,Working Day,1,16,76,4,373,3662,4035,2011-11,2,2011-11
2011-11-08,Winter,2011,November,Not Holiday,Tuesday,Working Day,1,17,72,5,376,3829,4205,2011-11,2,2011-11
2011-11-09,Winter,2011,November,Not Holiday,Wednesday,Working Day,1,16,76,4,305,3804,4109,2011-11,2,2011-11
2011-11-10,Winter,2011,November,Not Holiday,Thursday,Working Day,2,16,81,13,190,2743,2933,2011-11,0,2011-11
2011-11-11,Winter,2011,November,Holiday,Friday,Holiday,1,13,45,21,440,2928,3368,2011-11,2,2011-11
2011-11-12,Winter,2011,November,Not Holiday,Saturday,Holiday,1,15,55,14,1275,2792,4067,2011-11,2,2011-11
2011-11-13,Winter,2011,November,Not Holiday,Sunday,Holiday,1,18,46,19,1004,2713,3717,2011-11,2,2011-11
2011-11-14,Winter,2011,November,Not Holiday,Monday,Working Day,1,22,59,21,595,3891,4486,2011-11,2,2011-11
2011-11-15,Winter,2011,November,Not Holiday,Tuesday,Working Day,2,22,69,13,449,3746,4195,2011-11,2,2011-11
2011-11-16,Winter,2011,November,Not Holiday,Wednesday,Working Day,3,19,93,9,145,1672,1817,2011-11,0,2011-11
2011-11-17,Winter,2011,November,Not Holiday,Thursday,Working Day,2,14,58,20,139,2914,3053,2011-11,2,2011-11
2011-11-18,Winter,2011,November,Not Holiday,Friday,Working Day,1,11,41,11,245,3147,3392,2011-11,2,2011-11
2011-11-19,Winter,2011,November,Not Holiday,Saturday,Holiday,1,13,50,15,943,2720,3663,2011-11,2,2011-11
2011-11-20,Winter,2011,November,Not Holiday,Sunday,Holiday,2,19,68,12,787,2733,3520,2011-11,2,2011-11
2011-11-21,Winter,2011,November,Not Holiday,Monday,Working Day,3,18,91,9,220,2545,2765,2011-11,0,2011-11
2011-11-22,Winter,2011,November,Not Holiday,Tuesday,Working Day,3,17,96,8,69,1538,1607,2011-11,0,2011-11
2011-11-23,Winter,2011,November,Not Holiday,Wednesday,Working Day,2,18,76,23,112,2454,2566,2011-11,0,2011-11
2011-11-24,Winter,2011,November,Holiday,Thursday,Holiday,1,15,55,11,560,935,1495,2011-11,0,2011-11
2011-11-25,Winter,2011,November,Not Holiday,Friday,Working Day,1,15,64,7,1095,1697,2792,2011-11,0,2011-11
2011-11-26,Winter,2011,November,Not Holiday,Saturday,Holiday,1,15,68,5,1249,1819,3068,2011-11,0,2011-11
2011-11-27,Winter,2011,November,Not Holiday,Sunday,Holiday,1,19,70,14,810,2261,3071,2011-11,0,2011-11
2011-11-28,Winter,2011,November,Not Holiday,Monday,Working Day,1,21,74,10,253,3614,3867,2011-11,2,2011-11
2011-11-29,Winter,2011,November,Not Holiday,Tuesday,Working Day,2,19,83,17,96,2818,2914,2011-11,2,2011-11
2011-11-30,Winter,2011,November,Not Holiday,Wednesday,Working Day,1,13,61,18,188,3425,3613,2011-11,2,2011-11
2011-12-01,Winter,2011,December,Not Holiday,Thursday,Working Day,1,13,52,15,182,3545,3727,2011-12,2,2011-12
2011-12-02,Winter,2011,December,Not Holiday,Friday,Working Day,1,13,63,7,268,3672,3940,2011-12,2,2011-12
2011-12-03,Winter,2011,December,Not Holiday,Saturday,Holiday,1,12,61,6,706,2908,3614,2011-12,2,2011-12
2011-12-04,Winter,2011,December,Not Holiday,Sunday,Holiday,1,14,78,6,634,2851,3485,2011-12,2,2011-12
2011-12-05,Winter,2011,December,Not Holiday,Monday,Working Day,2,16,83,4,233,3578,3811,2011-12,2,2011-12
2011-12-06,Winter,2011,December,Not Holiday,Tuesday,Working Day,3,19,95,16,126,2468,2594,2011-12,0,2011-12
2011-12-07,Winter,2011,December,Not Holiday,Wednesday,Working Day,3,17,97,18,50,655,705,2011-12,0,2011-12
2011-12-08,Winter,2011,December,Not Holiday,Thursday,Working Day,1,11,58,16,150,3172,3322,2011-12,2,2011-12
2011-12-09,Winter,2011,December,Not Holiday,Friday,Working Day,1,12,70,6,261,3359,3620,2011-12,2,2011-12
2011-12-10,Winter,2011,December,Not Holiday,Saturday,Holiday,1,11,51,16,502,2688,3190,2011-12,2,2011-12
2011-12-11,Winter,2011,December,Not Holiday,Sunday,Holiday,1,9,49,4,377,2366,2743,2011-12,0,2011-12
2011-12-12,Winter,2011,December,Not Holiday,Monday,Working Day,1,10,67,4,143,3167,3310,2011-12,2,2011-12
2011-12-13,Winter,2011,December,Not Holiday,Tuesday,Working Day,1,12,59,9,155,3368,3523,2011-12,2,2011-12
2011-12-14,Winter,2011,December,Not Holiday,Wednesday,Working Day,2,13,66,4,178,3562,3740,2011-12,2,2011-12
2011-12-15,Winter,2011,December,Not Holiday,Thursday,Working Day,2,17,63,18,181,3528,3709,2011-12,2,2011-12
2011-12-16,Winter,2011,December,Not Holiday,Friday,Working Day,2,15,50,17,178,3399,3577,2011-12,2,2011-12
2011-12-17,Winter,2011,December,Not Holiday,Saturday,Holiday,2,11,56,16,275,2464,2739,2011-12,0,2011-12
2011-12-18,Winter,2011,December,Not Holiday,Sunday,Holiday,1,10,59,11,220,2211,2431,2011-12,0,2011-12
2011-12-19,Winter,2011,December,Not Holiday,Monday,Working Day,1,11,64,12,260,3143,3403,2011-12,2,2011-12
2011-12-20,Winter,2011,December,Not Holiday,Tuesday,Working Day,2,16,60,4,216,3534,3750,2011-12,2,2011-12
2011-12-21,Spring,2011,December,Not Holiday,Wednesday,Working Day,2,18,86,15,107,2553,2660,2011-12,0,2011-12
2011-12-22,Spring,2011,December,Not Holiday,Thursday,Working Day,2,17,76,3,227,2841,3068,2011-12,2,2011-12
2011-12-23,Spring,2011,December,Not Holiday,Friday,Working Day,1,15,69,18,163,2046,2209,2011-12,0,2011-12
2011-12-24,Spring,2011,December,Not Holiday,Saturday,Holiday,1,12,54,13,155,856,1011,2011-12,0,2011-12
2011-12-25,Spring,2011,December,Not Holiday,Sunday,Holiday,1,11,68,10,303,451,754,2011-12,0,2011-12
2011-12-26,Spring,2011,December,Holiday,Monday,Holiday,1,13,51,16,430,887,1317,2011-12,0,2011-12
2011-12-27,Spring,2011,December,Not Holiday,Tuesday,Working Day,2,13,76,13,103,1059,1162,2011-12,0,2011-12
2011-12-28,Spring,2011,December,Not Holiday,Wednesday,Working Day,1,12,50,20,255,2047,2302,2011-12,0,2011-12
2011-12-29,Spring,2011,December,Not Holiday,Thursday,Working Day,1,10,57,8,254,2169,2423,2011-12,0,2011-12
2011-12-30,Spring,2011,December,Not Holiday,Friday,Working Day,1,13,64,9,491,2508,2999,2011-12,0,2011-12
2011-12-31,Spring,2011,December,Not Holiday,Saturday,Holiday,1,17,62,15,665,1820,2485,2011-12,0,2011-12
2012-01-01,Spring,2012,January,Not Holiday,Sunday,Holiday,1,15,69,13,686,1608,2294,2012-01,0,2012-01
2012-01-02,Spring,2012,January,Holiday,Monday,Holiday,1,11,38,22,244,1707,1951,2012-01,0,2012-01
2012-01-03,Spring,2012,January,Not Holiday,Tuesday,Working Day,1,6,44,24,89,2147,2236,2012-01,0,2012-01
2012-01-04,Spring,2012,January,Not Holiday,Wednesday,Working Day,2,4,41,12,95,2273,2368,2012-01,0,2012-01
2012-01-05,Spring,2012,January,Not Holiday,Thursday,Working Day,1,11,52,9,140,3132,3272,2012-01,2,2012-01
2012-01-06,Spring,2012,January,Not Holiday,Friday,Working Day,1,14,54,11,307,3791,4098,2012-01,2,2012-01
2012-01-07,Spring,2012,January,Not Holiday,Saturday,Holiday,1,16,53,12,1070,3451,4521,2012-01,2,2012-01
2012-01-08,Spring,2012,January,Not Holiday,Sunday,Holiday,1,14,46,13,599,2826,3425,2012-01,2,2012-01
2012-01-09,Spring,2012,January,Not Holiday,Monday,Working Day,2,9,70,7,106,2270,2376,2012-01,0,2012-01
2012-01-10,Spring,2012,January,Not Holiday,Tuesday,Working Day,1,13,65,13,173,3425,3598,2012-01,2,2012-01
2012-01-11,Spring,2012,January,Not Holiday,Wednesday,Working Day,2,11,85,9,92,2085,2177,2012-01,0,2012-01
2012-01-12,Spring,2012,January,Not Holiday,Thursday,Working Day,2,16,80,12,269,3828,4097,2012-01,2,2012-01
2012-01-13,Spring,2012,January,Not Holiday,Friday,Working Day,1,11,51,25,174,3040,3214,2012-01,2,2012-01
2012-01-14,Spring,2012,January,Not Holiday,Saturday,Holiday,1,7,46,13,333,2160,2493,2012-01,0,2012-01
2012-01-15,Spring,2012,January,Not Holiday,Sunday,Holiday,1,7,42,17,284,2027,2311,2012-01,0,2012-01
2012-01-16,Spring,2012,January,Holiday,Monday,Holiday,1,8,52,16,217,2081,2298,2012-01,0,2012-01
2012-01-17,Spring,2012,January,Not Holiday,Tuesday,Working Day,2,15,72,23,127,2808,2935,2012-01,2,2012-01
2012-01-18,Spring,2012,January,Not Holiday,Wednesday,Working Day,1,12,44,28,109,3267,3376,2012-01,2,2012-01
2012-01-19,Spring,2012,January,Not Holiday,Thursday,Working Day,1,8,50,15,130,3162,3292,2012-01,2,2012-01
2012-01-20,Spring,2012,January,Not Holiday,Friday,Working Day,2,9,45,14,115,3048,3163,2012-01,2,2012-01
2012-01-21,Spring,2012,January,Not Holiday,Saturday,Holiday,2,7,83,15,67,1234,1301,2012-01,0,2012-01
2012-01-22,Spring,2012,January,Not Holiday,Sunday,Holiday,2,7,80,13,196,1781,1977,2012-01,0,2012-01
2012-01-23,Spring,2012,January,Not Holiday,Monday,Working Day,2,9,91,7,145,2287,2432,2012-01,0,2012-01
2012-01-24,Spring,2012,January,Not Holiday,Tuesday,Working Day,1,14,84,8,439,3900,4339,2012-01,2,2012-01
2012-01-25,Spring,2012,January,Not Holiday,Wednesday,Working Day,1,12,64,11,467,3803,4270,2012-01,2,2012-01
2012-01-26,Spring,2012,January,Not Holiday,Thursday,Working Day,2,14,77,5,244,3831,4075,2012-01,2,2012-01
2012-01-27,Spring,2012,January,Not Holiday,Friday,Working Day,2,17,74,23,269,3187,3456,2012-01,2,2012-01
2012-01-28,Spring,2012,January,Not Holiday,Saturday,Holiday,1,13,54,14,775,3248,4023,2012-01,2,2012-01
2012-01-29,Spring,2012,January,Not Holiday,Sunday,Holiday,1,12,31,16,558,2685,3243,2012-01,2,2012-01
2012-01-30,Spring,2012,January,Not Holiday,Monday,Working Day,1,11,40,14,126,3498,3624,2012-01,2,2012-01
2012-01-31,Spring,2012,January,Not Holiday,Tuesday,Working Day,1,16,42,18,324,4185,4509,2012-01,2,2012-01
2012-02-01,Spring,2012,February,Not Holiday,Wednesday,Working Day,1,19,51,13,304,4275,4579,2012-02,2,2012-02
2012-02-02,Spring,2012,February,Not Holiday,Thursday,Working Day,2,16,67,13,190,3571,3761,2012-02,2,2012-02
2012-02-03,Spring,2012,February,Not Holiday,Friday,Working Day,1,13,53,12,310,3841,4151,2012-02,2,2012-02
2012-02-04,Spring,2012,February,Not Holiday,Saturday,Holiday,2,11,78,8,384,2448,2832,2012-02,0,2012-02
2012-02-05,Spring,2012,February,Not Holiday,Sunday,Holiday,2,11,69,12,318,2629,2947,2012-02,0,2012-02
2012-02-06,Spring,2012,February,Not Holiday,Monday,Working Day,1,12,62,10,206,3578,3784,2012-02,2,2012-02
2012-02-07,Spring,2012,February,Not Holiday,Tuesday,Working Day,1,15,50,10,199,4176,4375,2012-02,2,2012-02
2012-02-08,Spring,2012,February,Not Holiday,Wednesday,Working Day,2,11,72,9,109,2693,2802,2012-02,0,2012-02
2012-02-09,Spring,2012,February,Not Holiday,Thursday,Working Day,1,11,56,13,163,3667,3830,2012-02,2,2012-02
2012-02-10,Spring,2012,February,Not Holiday,Friday,Working Day,2,12,54,8,227,3604,3831,2012-02,2,2012-02
2012-02-11,Spring,2012,February,Not Holiday,Saturday,Holiday,3,9,73,19,192,1977,2169,2012-02,0,2012-02
2012-02-12,Spring,2012,February,Not Holiday,Sunday,Holiday,1,5,46,27,73,1456,1529,2012-02,0,2012-02
2012-02-13,Spring,2012,February,Not Holiday,Monday,Working Day,1,9,41,11,94,3328,3422,2012-02,2,2012-02
2012-02-14,Spring,2012,February,Not Holiday,Tuesday,Working Day,2,13,51,9,135,3787,3922,2012-02,2,2012-02
2012-02-15,Spring,2012,February,Not Holiday,Wednesday,Working Day,1,14,53,12,141,4028,4169,2012-02,2,2012-02
2012-02-16,Spring,2012,February,Not Holiday,Thursday,Working Day,2,13,75,6,74,2931,3005,2012-02,2,2012-02
2012-02-17,Spring,2012,February,Not Holiday,Friday,Working Day,1,14,63,14,349,3805,4154,2012-02,2,2012-02
2012-02-18,Spring,2012,February,Not Holiday,Saturday,Holiday,1,14,53,13,1435,2883,4318,2012-02,2,2012-02
2012-02-19,Spring,2012,February,Not Holiday,Sunday,Holiday,2,11,52,17,618,2071,2689,2012-02,0,2012-02
2012-02-20,Spring,2012,February,Holiday,Monday,Holiday,1,11,51,15,502,2627,3129,2012-02,0,2012-02
2012-02-21,Spring,2012,February,Not Holiday,Tuesday,Working Day,1,12,59,14,163,3614,3777,2012-02,2,2012-02
2012-02-22,Spring,2012,February,Not Holiday,Wednesday,Working Day,1,16,57,16,394,4379,4773,2012-02,2,2012-02
2012-02-23,Spring,2012,February,Not Holiday,Thursday,Working Day,1,19,55,13,516,4546,5062,2012-02,2,2012-02
2012-02-24,Spring,2012,February,Not Holiday,Friday,Working Day,2,17,74,16,246,3241,3487,2012-02,2,2012-02
2012-02-25,Spring,2012,February,Not Holiday,Saturday,Holiday,1,12,40,28,317,2415,2732,2012-02,0,2012-02
2012-02-26,Spring,2012,February,Not Holiday,Sunday,Holiday,1,11,41,14,515,2874,3389,2012-02,2,2012-02
2012-02-27,Spring,2012,February,Not Holiday,Monday,Working Day,1,15,49,18,253,4069,4322,2012-02,2,2012-02
2012-02-28,Spring,2012,February,Not Holiday,Tuesday,Working Day,1,15,40,13,229,4134,4363,2012-02,2,2012-02
2012-02-29,Spring,2012,February,Not Holiday,Wednesday,Working Day,2,14,80,12,65,1769,1834,2012-02,0,2012-02
2012-03-01,Spring,2012,March,Not Holiday,Thursday,Working Day,1,20,62,15,325,4665,4990,2012-03,2,2012-03
2012-03-02,Spring,2012,March,Not Holiday,Friday,Working Day,2,14,66,10,246,2948,3194,2012-03,2,2012-03
2012-03-03,Spring,2012,March,Not Holiday,Saturday,Holiday,2,17,62,11,956,3110,4066,2012-03,2,2012-03
2012-03-04,Spring,2012,March,Not Holiday,Sunday,Holiday,1,13,40,22,710,2713,3423,2012-03,2,2012-03
2012-03-05,Spring,2012,March,Not Holiday,Monday,Working Day,1,10,51,15,203,3130,3333,2012-03,2,2012-03
2012-03-06,Spring,2012,March,Not Holiday,Tuesday,Working Day,1,11,46,13,221,3735,3956,2012-03,2,2012-03
2012-03-07,Spring,2012,March,Not Holiday,Wednesday,Working Day,1,17,51,23,432,4484,4916,2012-03,2,2012-03
2012-03-08,Spring,2012,March,Not Holiday,Thursday,Working Day,1,22,57,30,486,4896,5382,2012-03,1,2012-03
2012-03-09,Spring,2012,March,Not Holiday,Friday,Working Day,2,17,41,28,447,4122,4569,2012-03,2,2012-03
2012-03-10,Spring,2012,March,Not Holiday,Saturday,Holiday,1,12,35,15,968,3150,4118,2012-03,2,2012-03
2012-03-11,Spring,2012,March,Not Holiday,Sunday,Holiday,1,15,48,15,1658,3253,4911,2012-03,2,2012-03
2012-03-12,Spring,2012,March,Not Holiday,Monday,Working Day,1,19,49,14,838,4460,5298,2012-03,2,2012-03
2012-03-13,Spring,2012,March,Not Holiday,Tuesday,Working Day,1,23,62,16,762,5085,5847,2012-03,1,2012-03
2012-03-14,Spring,2012,March,Not Holiday,Wednesday,Working Day,1,23,51,8,997,5315,6312,2012-03,1,2012-03
2012-03-15,Spring,2012,March,Not Holiday,Thursday,Working Day,1,23,58,10,1005,5187,6192,2012-03,1,2012-03
2012-03-16,Spring,2012,March,Not Holiday,Friday,Working Day,2,18,84,8,548,3830,4378,2012-03,2,2012-03
2012-03-17,Spring,2012,March,Not Holiday,Saturday,Holiday,2,21,76,7,3155,4681,7836,2012-03,1,2012-03
2012-03-18,Spring,2012,March,Not Holiday,Sunday,Holiday,2,19,81,9,2207,3685,5892,2012-03,2,2012-03
2012-03-19,Spring,2012,March,Not Holiday,Monday,Working Day,1,22,73,11,982,5171,6153,2012-03,1,2012-03
2012-03-20,Spring,2012,March,Not Holiday,Tuesday,Working Day,1,23,81,8,1051,5042,6093,2012-03,1,2012-03
2012-03-21,Summer,2012,March,Not Holiday,Wednesday,Working Day,2,22,82,6,1122,5108,6230,2012-03,1,2012-03
2012-03-22,Summer,2012,March,Not Holiday,Thursday,Working Day,1,23,83,8,1334,5537,6871,2012-03,1,2012-03
2012-03-23,Summer,2012,March,Not Holiday,Friday,Working Day,2,25,69,8,2469,5893,8362,2012-03,1,2012-03
2012-03-24,Summer,2012,March,Not Holiday,Saturday,Holiday,2,21,89,13,1033,2339,3372,2012-03,0,2012-03
2012-03-25,Summer,2012,March,Not Holiday,Sunday,Holiday,2,18,88,15,1532,3464,4996,2012-03,2,2012-03
2012-03-26,Summer,2012,March,Not Holiday,Monday,Working Day,1,18,48,26,795,4763,5558,2012-03,1,2012-03
2012-03-27,Summer,2012,March,Not Holiday,Tuesday,Working Day,1,13,29,13,531,4571,5102,2012-03,2,2012-03
2012-03-28,Summer,2012,March,Not Holiday,Wednesday,Working Day,1,20,48,20,674,5024,5698,2012-03,1,2012-03
2012-03-29,Summer,2012,March,Not Holiday,Thursday,Working Day,1,20,44,21,834,5299,6133,2012-03,1,2012-03
2012-03-30,Summer,2012,March,Not Holiday,Friday,Working Day,2,15,58,9,796,4663,5459,2012-03,1,2012-03
